id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQdkBOZ0xqbiq-y5r7,8,Hartford International School,1,3,2,2+12=?,14,14,9.191913604736328,1,-LaQdDBQ2pWkXJEqEIM5
-LaQdkQxXy1guAuHxGhl,8,Hartford International School,1,3,4,46+37=?,83,83,8.122936248779299,1,-LaQd8BMIhNUK5-ZXJIK
-LaQdkpIf6kxrShRgbK1,8,Hartford International School,0,3,4,25+25=?,50,50,2.6690731048583984,1,-LaQcyIJiX_EPOxfW_Ma
-LaQdlGijeQ3qILF9nu5,8,Hartford International School,1,3,2,7+17=?,24,24,9.478403091430664,1,-LaQdEFbYSIRH12gBSQs
-LaQdlQNtp-QhDwN_9HJ,8,Hartford International School,0,3,4,17+25=?,42,34,15.375619888305664,1,-LaQd-bEsaUnPGhsoqFp
-LaQdmHkKzRPOy-npUJg,8,Hartford International School,0,3,3,22+10=?,32,32,8.643255233764647,1,-LaQdJVkNBVmdvH89mkO
-LaQdmSmFNtS0D6tkkp_,8,Hartford International School,0,3,3,33+10=?,43,43,12.868961334228516,1,-LaQd9XtrbmSkZKvmIJz
-LaQdn9iPkmAShrvmtmP,8,Hartford International School,1,3,0,1+3=?,4,4,5.888330936431885,1,-LaQdlRnc-1LgP-EJFtp
-LaQdnNTG75-oaohFy0H,8,Hartford International School,0,3,3,17+10=?,27,27,4.462740421295166,1,-LaQdJVkNBVmdvH89mkO
-LaQdnO2rJkSz8fpnpJQ,8,Hartford International School,0,3,3,40+10=?,50,50,3.79339599609375,1,-LaQd9XtrbmSkZKvmIJz
-LaQdnjR7uCy38wpfx4I,8,Hartford International School,0,3,4,25+25=?,50,40,9.475500106811523,1,-LaQd-bEsaUnPGhsoqFp
-LaQdo039wh6R9BDyMYq,8,Hartford International School,1,3,0,4+2=?,6,6,3.476842403411865,1,-LaQdlRnc-1LgP-EJFtp
-LaQdp3xZrtFA8lbgu85,8,Hartford International School,1,3,0,4+3=?,7,7,4.3446311950683585,1,-LaQdlRnc-1LgP-EJFtp
-LaQdpQs_tr9frTp2zZu,8,Hartford International School,1,3,4,61+39=?,100,120,20.4700927734375,1,-LaQd8BMIhNUK5-ZXJIK
-LaQdpSeTHc-vP7KFWFU,8,Hartford International School,0,3,3,33+10=?,43,43,8.522896766662598,1,-LaQdJVkNBVmdvH89mkO
-LaQdpm34IknCKrHtvEo,8,Hartford International School,1,3,2,8+21=?,29,29,18.452884674072266,1,-LaQdEFbYSIRH12gBSQs
-LaQdpy8zYZ2l2Edj5mH,8,Hartford International School,1,3,0,3+1=?,4,4,3.660076141357422,1,-LaQdlRnc-1LgP-EJFtp
-LaQdq7XB42s0weH6P12,8,Hartford International School,0,3,2,7+17=?,24,24,32.5858154296875,1,-LaQdV8e8AQiNrANsIx2
-LaQdqSt624xnBM1Kpi6,8,Hartford International School,0,3,3,40+10=?,50,50,4.111034393310547,1,-LaQdJVkNBVmdvH89mkO
-LaQdrLdSAGbV1IW7Xx1,8,Hartford International School,1,3,0,6+4=?,10,10,5.6655120849609375,1,-LaQdlRnc-1LgP-EJFtp
-LaQdrVLSfYTmupVVw0b,8,Hartford International School,0,3,4,42+35=?,77,77,27.331512451171875,1,-LaQcyIJiX_EPOxfW_Ma
-LaQdrY9dQ8miUUz7qOG,8,Hartford International School,1,3,2,8+21=?,29,29,33.10886383056641,1,-LaQd3FFlxB-434Ndy6V
-LaQdrkCHnWyd7JM2eCt,8,Hartford International School,0,3,4,17+25=?,42,42,17.852266311645508,1,-LaQd9XtrbmSkZKvmIJz
